,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ingham,42.6,-84.3833,64.26,93,0,0.0,US,1661413390
1,Dikson,73.5069,80.5464,37.8,75,100,22.53,RU,1661413391
2,East London,-33.0153,27.9116,85.14,20,0,23.02,ZA,1661413391
3,Ponta do Sol,32.6667,-17.1,72.23,78,16,4.97,PT,1661413392
4,Vila Velha,-20.3297,-40.2925,71.55,86,100,9.22,BR,1661413286
5,Daru,-9.0763,143.2092,76.66,91,100,15.08,PG,1661413392
6,Bama,11.5221,13.6856,77.13,76,62,11.56,NG,1661413393
7,Tiksi,71.6872,128.8694,43.2,79,23,7.67,RU,1661413393
8,Ribeira Grande,38.5167,-28.7,70.2,88,20,5.75,PT,1661413393
9,Kavieng,-2.5744,150.7967,82.0,75,49,8.7,PG,1661413394
10,Gizo Government Station,-8.103,156.8419,82.62,72,97,5.55,SB,1661413394
11,Arraial do Cabo,-22.9661,-42.0278,67.93,89,91,14.54,BR,1661413394
12,Yichang,30.7144,111.2847,96.91,40,99,5.64,CN,1661413395
13,Vao,-22.6667,167.4833,71.33,84,100,12.88,NC,1661413395
14,Punta Arenas,-53.15,-70.9167,33.91,86,40,5.75,CL,1661413396
15,São João da Barra,-21.6403,-41.0511,69.13,88,95,11.83,BR,1661413396
16,Red Bluff,40.1785,-122.2358,82.53,34,0,5.75,US,1661413396
17,Homer,59.6425,-151.5483,54.03,94,0,5.99,US,1661413397
18,George Town,5.4112,100.3354,89.89,69,40,9.22,MY,1661413397
19,Bredasdorp,-34.5322,20.0403,58.53,72,11,25.72,ZA,1661413397
20,Rikitea,-23.1203,-134.9692,69.3,61,27,14.88,PF,1661413398
21,Oxapampa,-10.5775,-75.4017,53.15,83,28,4.05,PE,1661413398
22,Teseney,15.11,36.6575,77.36,73,98,12.53,ER,1661413399
23,Alihe,50.5667,123.7167,60.73,62,92,7.29,CN,1661413399
24,Klaksvík,62.2266,-6.589,52.72,92,100,24.47,FO,1661413158
25,Buala,-8.145,159.5921,79.72,80,52,10.76,SB,1661413400
26,Spassk-Dal'niy,44.5978,132.8211,73.22,61,2,5.84,RU,1661413400
27,Cape Town,-33.9258,18.4232,60.39,78,75,16.11,ZA,1661413139
28,Hilo,19.7297,-155.09,80.28,90,20,1.01,US,1661413354
29,Vaini,-21.2,-175.2,73.56,94,20,6.91,TO,1661413401
30,Saint Paul Harbor,57.79,-152.4072,53.11,94,75,0.0,US,1661413401
31,Mataura,-46.1927,168.8643,45.48,90,100,0.54,NZ,1661413402
32,Saint George,37.1041,-113.5841,83.62,39,0,8.05,US,1661413401
33,Jamestown,42.097,-79.2353,65.79,92,0,3.44,US,1661413402
34,Thompson,55.7435,-97.8558,51.96,82,100,3.44,CA,1661413403
35,Khuzdar,27.7384,66.6434,64.94,94,100,6.64,PK,1661413403
36,Hobyo,5.3505,48.5268,83.53,64,9,22.46,SO,1661413404
37,Soyo,-6.1349,12.3689,73.92,83,28,4.88,AO,1661413404
38,Aykhal,66.0,111.5,48.6,97,100,7.74,RU,1661413404
39,Novikovo,51.1537,37.8879,86.67,24,1,14.14,RU,1661413405
40,Portland,45.5234,-122.6762,76.95,70,75,3.44,US,1661413221
41,Qaanaaq,77.484,-69.3632,31.64,70,0,6.87,GL,1661413405
42,Ilanskiy,56.2358,96.065,63.86,74,84,9.04,RU,1661413406
43,Margate,51.3813,1.3862,70.3,92,97,5.99,GB,1661413406
44,Ushuaia,-54.8,-68.3,33.46,93,40,12.66,AR,1661413407
